Время,Масса,Скорость,Высота
0.0,52695.9,1.3,79.2
0.2,52627.7,3.2,79.5
0.3,52579.0,4.9,79.9
0.4,52530.4,6.5,80.5
0.5,52481.7,8.1,81.2
0.6,52433.0,9.7,82.1
0.7,52384.3,11.3,83.2
0.8,52335.6,12.9,84.4
0.9,52286.9,14.5,85.8
1.0,52238.2,16.2,87.4
1.1,52199.3,17.4,88.7
1.2,52140.8,19.4,91.0
1.3,52092.2,21.0,93.0
1.4,52043.5,22.7,95.2
1.5,51994.8,24.3,97.6
1.6,51946.1,25.9,100.1
1.7,51897.4,27.6,102.8
1.8,51848.7,29.2,105.6
1.9,51800.0,30.8,108.6
2.0,51751.3,32.5,111.8
2.1,51702.6,34.1,115.2
2.2,51654.0,35.7,118.7
2.3,51605.3,37.4,122.3
2.4,51556.6,39.0,126.2
2.5,51507.9,40.7,130.2
2.6,51449.5,42.7,135.2
2.7,51391.0,44.6,140.5
2.8,51352.1,46.0,144.1
2.9,51303.4,47.6,148.8
3.0,51245.0,49.6,154.6
3.1,51206.0,50.9,158.7
3.2,51157.3,52.6,163.9
3.3,51098.9,54.6,170.3
3.4,51050.2,56.2,175.9
3.5,51001.5,57.9,181.6
3.6,50952.8,59.5,187.5
3.7,50904.2,61.2,193.5
3.8,50855.5,62.9,199.8
3.9,50806.8,64.5,206.1
4.0,50758.1,66.2,212.7
4.1,50709.4,67.9,219.4
4.2,50660.7,69.5,226.3
4.3,50612.0,71.2,233.3
4.4,50563.3,72.9,240.6
4.5,50514.6,74.5,248.0
4.6,50466.0,76.2,255.5
4.7,50417.3,77.9,263.2
4.8,50368.6,79.5,271.1
4.9,50319.9,81.2,279.2
5.0,50271.2,82.9,287.4
5.1,50222.5,84.5,295.8
5.2,50173.8,86.2,304.3
5.3,50115.4,88.2,314.8
5.4,50066.7,89.9,323.7
5.5,50018.0,91.5,332.8
5.6,49969.3,93.2,342.1
5.7,49920.6,94.9,351.5
5.8,49872.0,96.6,361.1
5.9,49823.3,98.2,370.8
6.0,49774.6,99.9,380.8
6.1,49725.9,101.6,390.9
6.2,49677.2,103.2,401.1
6.3,49628.5,104.9,411.5
6.4,49579.8,106.6,422.1
6.5,49531.1,108.3,432.9
6.6,49482.5,109.9,443.8
6.7,49433.8,111.6,454.9
6.8,49385.1,113.3,466.2
6.9,49336.4,115.0,477.6
7.1,49278.0,117.0,491.5
7.1,49239.0,118.3,501.0
7.2,49190.3,120.0,512.9
7.4,49131.9,122.0,527.4
7.4,49092.9,123.3,537.2
7.6,49034.5,125.3,552.2
7.7,48985.8,127.0,564.8
7.8,48937.1,128.7,577.6
7.8,48898.2,130.0,588.0
8.0,48839.8,132.0,603.7
8.1,48791.1,133.7,617.0
8.2,48742.4,135.4,630.5
8.3,48693.7,137.0,644.1
8.4,48645.0,138.7,657.9
8.5,48596.3,140.4,671.9
8.6,48547.6,142.0,686.0
8.7,48498.9,143.7,700.3
8.8,48450.3,145.4,714.8
8.9,48401.6,147.1,729.4
9.0,48352.9,148.7,744.3
9.1,48304.2,150.4,759.2
9.2,48255.5,152.1,774.4
9.3,48197.1,154.1,792.8
9.4,48148.4,155.8,808.3
9.5,48109.4,157.1,820.8
9.6,48051.0,159.1,839.8
9.7,48002.3,160.8,855.8
9.8,47963.4,162.1,868.7
9.9,47904.9,164.1,888.3
10.0,47856.3,165.8,904.8
10.1,47807.6,167.5,921.5
10.2,47758.9,169.2,938.4
10.3,47710.2,170.9,955.4
10.4,47661.5,172.5,972.6
10.5,47612.8,174.2,989.9
10.6,47564.1,175.9,1007.5
10.7,47515.4,177.6,1025.1
10.8,47466.7,179.2,1043.0
10.9,47418.1,180.9,1061.0
11.0,47369.4,182.6,1079.2
11.1,47320.7,184.3,1097.6
11.2,47272.0,185.9,1116.1
11.3,47213.6,187.9,1138.6
11.4,47174.6,189.3,1153.7
11.5,47125.9,191.0,1172.7
11.6,47067.5,193.0,1195.7
11.7,47028.6,194.3,1211.2
11.8,46979.9,196.0,1230.8
11.9,46921.4,198.0,1254.4
12.0,46882.5,199.3,1270.3
12.1,46824.1,201.3,1294.4
12.2,46775.4,203.0,1314.6
12.3,46736.4,204.4,1330.9
12.4,46678.0,206.4,1355.6
12.5,46629.3,208.0,1376.3
12.6,46580.6,209.7,1397.2
12.7,46531.9,211.4,1418.3
12.8,46483.2,213.0,1439.6
12.9,46434.5,214.7,1461.0
13.0,46385.9,216.4,1482.5
13.1,46337.2,218.0,1504.3
13.2,46288.5,219.7,1526.2
13.3,46239.8,221.4,1548.2
13.4,46191.1,223.0,1570.5
13.5,46142.4,224.7,1592.9
13.6,46093.7,226.4,1615.5
13.7,46045.0,228.0,1638.2
13.8,45996.4,229.7,1661.1
13.9,45947.7,231.4,1684.2
14.0,45899.0,233.0,1707.4
14.1,45850.3,234.7,1730.8
14.2,45801.6,236.3,1754.4
14.3,45752.9,238.0,1778.1
14.4,45704.2,239.6,1802.0
14.5,45655.5,241.3,1826.1
14.6,45606.8,243.0,1850.3
14.7,45558.2,244.6,1874.7
14.8,45509.5,246.3,1899.2
14.9,45460.8,247.9,1924.0
15.0,45412.1,249.6,1948.9
15.1,45363.4,251.2,1973.9
15.2,45314.7,252.9,1999.1
15.3,45266.0,254.5,2024.5
15.4,45217.3,256.2,2050.1
15.5,45168.6,257.8,2075.8
15.6,45120.0,259.5,2101.7
15.7,45071.3,261.1,2127.7
15.8,45022.6,262.7,2153.9
15.9,44964.2,264.6,2185.6
16.0,44925.2,265.8,2206.8
16.1,44876.5,267.3,2233.5
16.2,44808.4,269.4,2271.0
16.3,44759.7,270.8,2298.1
16.4,44711.0,272.2,2325.2
16.5,44662.3,273.5,2352.5
16.6,44613.6,274.9,2380.0
16.7,44564.9,276.3,2407.5
16.8,44516.2,277.7,2435.2
16.9,44467.5,279.2,2463.1
17.0,44418.8,280.7,2491.1
17.1,44370.2,282.2,2519.2
17.2,44321.5,283.7,2547.5
